,_id,title,text,rating,reviewer_handle,language,airline_name,flight_date,flight_connection,flight_type,booking_class
0,E58EPCt9,,"Für eine Reise nach Australien habe einen Flug für zwei Personen via Singapur nach Perth gebucht und nachträglich den Sitzplatz um zwei Reihen nach vorne geändert. Obwohl der Sitzplatz in der gleichen Kategorie war, musste ich für die Änderung nochmals CHF 36.10 bezahlen. Also musste ich für den Flug zweimal den Sitzplatz bezahlen. Singapore Airlines hat mir mitgeteilt, das stehe so in der AGB. Mir ist es zu blöd um CHF 36.10 zu streiten. Bei keiner Fluggesellschaft musste ich für die Änderung bezahlen. Ich finde es nicht gerade kundenfreundlich. Zukünftig werde ich wieder mit anderen Fluggesellschaft buchen.",1.0,,,Lufthansa,,,,
1,9UShASxA,,"Sitzkomfort war sehr gut, Service war schlecht.
- Kabinenpersonal war hektisch und wirkte unkoordiniert
- Speisefolge wurde sehr schnell, fast ohne Pausen serviert
- Getränke kamen fast 10 Minuten nachdem das Essen serviert wurde
- es wurde Aperitif, Digestif und Kaffee nur auf Nachfrage serviert, nicht angeboten
- Brötchen wurden nicht zusammen mit der Vorspeise serviert
- während der Ruhezeit Getränke/ Snacks nur nach Anforderung
- Kabinenpersonal behinderte sich gegenseitig
- Speisen waren gut, schmackhaft, ausreichend portioniert
- Rückflug mit SQ 328 nach München war ähnlich",3.0,,,Lufthansa,,,,
2,oE61qIEf,,"Überschrift,
Schlimmster Flug bis jetzt.
In meinem Leben.

Ich möchte die Freundlichkeit
und den Service
von Singapore Airlines,in der Business Class bewerten.

Ich bin nicht der Einzige mit der gleichen Erfahrung.

Es betrifft den hin- und Rückflug von Bali nach Singapur, ich kann jegliche Flugnummer und alles nennen ,dies war so katastrophal,
selbst der Kabinenleiter,

kam und nannte mir den Namen der Dame und hat mich gebeten,mich nicht zu beschweren.
Doch nach der neuesten Bewertungen,im Netz kann ich nicht mehr schweigen und muss dies schreiben.

In 25 Flugjahren in der Buissenes Class.
Vielleicht teilen Kunden....auch diese Erfahrungen.

Alles ist dem Kabinen Leiter,
bekannt.

Auf dem Hinflug,
bat ich um Ohrstöpsel,Antwort wir haben jetzt keine, Rückflug,Getränke sie bekomme kein zweites Getränk, ich bat mehrfach darum,ob es möglich sei,von dem Whisky, nur einen winzigen Scluck zu bekommen um diesen zu probieren, da ich ihn nicht kannte.Es kam ein klares !!

Antwort der Dame Nein !! 2 x.

Ich habe alles etwas stärker (bei der Beschwerde (erwähnt) bein dem Kabinenleiter,damit dies auch andere Fluggäste mitbekommen. Dies ist normalerweise nicht meine Art.
Auch hatte ich mir von Singapur nach FRA ein Essen bestellt, welches vertauscht wurde.
Es gibt noch viel ....viel mehr,welches ich mit Flugnummern und allem anderen belegen kann.
Ob es die Frage nach Schuhen, für die Kabine war,alles wurde abgelehnt.
Auch bei Kollegen und mir.Meiner Frau erging es auch so.In diesem und im letzten Jahr.
Ich schreibe hier nicht alles,da dies keiner lesen vermag.
Doch wenn jemand Interesse daran hat,schreibe ich im alles ausführlich. Ich habe mehrere Konten,bei diesem Portal und ich werde dies überall vermerken,in den nächsten Wochen.

Ein super !!!

Enttäuschter und beleidigter Kunde,von der Dame im Service.Rückflug im August 22.
Es ist aktuell hier nicht möglich, so weit rückwirkend,zu beurteilen.",2.0,,,Lufthansa,,,,
3,RLjx4JDl,,"Sehr guter, sehr gutes Essen, luxuriöse Sitze und Toiletten. Sehr nette Flugbegleiter. Tolles Board Entertainment. Das Essen wahr das Highlight des Fluges. Decken und Kissen gab es frisch dazu, zum besseren schlafen bzw. ausruhen. Immer wieder gerne.",5.0,,,Lufthansa,,,,
4,RiTM5iqK,,"ich wurde nicht befördert weil mein Reisepass, der noch 13 Monate gültig ist, von außen nicht mehr wie neu aussieht - mit dem Kommentar, hätte ich mir eine Hülle gekauft wäre es ok gewesen.

3.5k€ futsch. Das Mädchen das mir die Reise verweigert hat, war völlig schmerzfrei, und wollte noch dass ich mich bei ihr bedanke weil sie meinen Pass in Denpasar und in Manado per Whatsapp angezeigt hat.",1.0,,,Lufthansa,,,,
5,OYfrBPoU,,"Mein Flug mit Singapore Airlines von FRA nach New York war einfach nur klasse!

Personal:
Sowohl die Flugbegleiter als auch das Bodenpersonal war sehr freundlich und zuvorkommend.

Sitzplatz:
Der Flug wurde mit einem A380 durchgeführt, und das ist ein Erlebnis für sich! Viel Beinfreiheit, klasse Entertainment, sehr ruhig und an jedem Sitzplatz gab es ein Kopfkissen und eine Decke.

Essen:
Das essen war sehr lecker. Definitiv das beste Flugzeugessen das ich bisher hatte. In der Economy kann man zwischen zwei Gerichten entscheiden. Dazu gibt es gratis Getränke.

Zusatz:
Beim Rückflug gab es zuerst einen kleinen Schock, ich wurde suf Standby gesetzt, weil der Flug überbicht war. Am Gate dann aber die Erleichterung, und wir wurden auf Premium Economy geupgradet! Das war ein noch viel schöneres Erlebnis!",5.0,,,Lufthansa,,,,
6,wTjT92Qk,,"Früher war Singapore Airlines immer unsere Lieblingsfluglinie. Irgendwie bleibt sie es immer noch, weil das Personal immer professionell und sehr aufmerksam ist.
Negativ aufgefallen ist uns allerdings, dass das Essen ziemlich grottig geworden ist, bei immens gestiegenen Flugpreisen. Man versucht offensichtlich an jeder Ecke zu sparen.
Unser „Asiatisch-Vegetarisches Essen“ schmeckte nicht nur wie Tapetenkleister, es hatte auch die Konsistenz. Üblicher Weise gibt es Salz und Pfeffer mit dem Besteck und auch „Pickles“. Nun Fehlanzeige. Auch das Personal wurde deutlich ausgedünnt. Sehr schade.
Auf dem Anschlussflug von Singapore nach KL gab es nur eine Tasse Tee/Kaffee. Auf dem Rückflug von Singapore nach Deutschland sind wir „Premium Economy“ geflogen. Wie man für eine so minimalst bessere Leistung Geld verlangen kann, ist mir schleierhaft. Das ist Bauernfängerei.",3.0,,,Lufthansa,,,,
7,jpMX3srQ,,"Flug SQ25 von Frankfurt nach Singapur und zurück.
Flugzeug Boeing 777.
Bis vor einem Monat noch durch den wunderbaren A 380 bedient.
Haben mittlerweile schon einige Langstreckenflüge mit verschiedenen Airlines hinter uns.
Wollte dem Personal einfach mal meinen Dank aussprechen. Das professionelle, service orientierte Verhalten des Personals in Kombination mit größter Freundlichkeit ist schon großartig.
Auch die Herren der Schöpfung sind hier sehr smart unterwegs.
Mann spürt hier schon die einzigartige Ausbildung von Singapore Airlines.

Wenn man zwischendurch oder auch Nachts mal Hunger bekommt. Einfach in die Bordküche gehen und man wird mit Snacks oder Brötchen nach belieben zugeworfen. Hier ist auch stets ein netter und zumeist lustiger Plausch möglich.
Vielen Dank für die vielen netten und manchmal auch anstrengenden Stunden an Bord. Ihr seid die Besten.

Respekt für eure Arbeit. Vielen Dank !!!",5.0,,,Lufthansa,,,,
8,BvBFM4WD,,"Die cabin crew verhielt sich extrem unprofessionell gegenüber den Passagieren.
Auf dem Flug SQ326 vom 11.06.2023 haben ein Teil der Passagiere inklusive mir kein zweites Essen erhalten. Bedeutet für die betroffenen 11 Stunden ohne Essen.
Ein Teil der erworbenen Leistungen wurde somit verweigert. Gab nicht mal eine Entschuldigung.",1.0,,,Lufthansa,,,,
9,VSH3DeXu,,"Zwischen Shangri-la hotels und Singapore Airlines gibt es eine Kooperation: die Diamond Elite members von Shangri-la bekommen nach 1 Flug mit Singapore Airlines. Gute Sache, dachte ich. Mitte Januar dieses Jahres habe ich mich im Programm von Singapore Airlines eingeschrieben und dachte, dass es bis zu Reise nach Singapur noch gute 3 Wochen gibt, werde ich doch schaffen die entsprechende Aktivierung vom Status auf der speziellen Website zu tätigen. Die Sache ist aber sehr kompliziert gewesen. Da vor mehreren Jahren im Acount eine andere Mitgliedschaft Nummer eingetragen wurde, konnte ich dieses Status Match gar nicht durchführen. Erstaunlich, dass es keine Assistence in dem Sinne von beiden Seiten gibt. Alles, was ich von der Shangri-la und Singapore Airlinees an
Erklärungen mitbekommen habe, konnte ich selber nicht durchführen, sorry Leute, aber es gibt ja menschen, die sich mit solchen Sachen wie Internet nicht auseinander setzen können/wollen wie auch immer! Da ich nur schwarz gesehen habe, habe ich mich in die Niederlassung der Singapore Airlines im Ion Link in Singapur bewegt. Dort ist alles modern, ich wurde mit eine Agentin im Video call verbunden und sie sagte, es wird ein paar Tage dauern, bis sie das Problem lösen kann. Ich hatte diese ein paar Tage noch bis mein Flug nach Bali (extra wegen diem Status Match mit Singapore Airline gebucht!) und hoffte naiver Weise aufs Happy End. Leider vergeblich! Auch während meines 10 tägigen Aufenthalts auf Bali wurde dieses Status Match nicht durchgeführt genau so wie nach der Rückreise in März. Ich verstehe nicht, wer kommt auf die Idee alles nur im online modus durch zu führen. Es gibt ja immer noch Menschen, die dieses Medium nicht beherrschen oder nicht beherrschen wollen. Sehr traurig! Smartphone benutze ich auch nicht, sondern nur Knopf telefon von Nokia. Schade, dass man sich ausgegrenzt fühlen dürfte! Sehr schade!",3.0,,,Lufthansa,,,,
